"state","date","cases"
"AK",2020-01-22,0
"AK",2020-01-29,0
"AK",2020-02-05,0
"AK",2020-02-12,0
"AK",2020-02-19,0
"AK",2020-02-26,0
"AK",2020-03-04,0
"AK",2020-03-11,0
"AK",2020-03-18,11
"AK",2020-03-25,52
"AK",2020-04-01,86
"AK",2020-04-08,86
"AK",2020-04-15,65
"AK",2020-04-22,37
"AK",2020-04-29,18
"AK",2020-05-06,19
"AK",2020-05-13,15
"AK",2020-05-20,15
"AK",2020-05-27,23
"AK",2020-06-03,91
"AK",2020-06-10,98
"AK",2020-06-17,97
"AK",2020-06-24,108
"AK",2020-07-01,199
"AK",2020-07-08,253
"AK",2020-07-15,421
"AK",2020-07-22,508
"AK",2020-07-29,684
"AK",2020-08-05,601
"AK",2020-08-12,491
"AK",2020-08-19,558
"AK",2020-08-26,465
"AK",2020-09-02,474
"AK",2020-09-09,547
"AK",2020-09-16,529
"AK",2020-09-23,642
"AK",2020-09-30,833
"AK",2020-10-07,1020
"AK",2020-10-14,1341
"AK",2020-10-21,1538
"AK",2020-10-28,2614
"AK",2020-11-04,2727
"AK",2020-11-11,3598
"AK",2020-11-18,4316
"AK",2020-11-25,4112
"AK",2020-12-02,4524
"AK",2020-12-09,4622
"AK",2020-12-16,3417
"AK",2020-12-23,2223
"AK",2020-12-30,1724
"AK",2021-01-06,2026
"AK",2021-01-13,1973
"AK",2021-01-20,1377
"AK",2021-01-27,1181
"AK",2021-02-03,946
"AK",2021-02-10,989
"AK",2021-02-17,807
"AK",2021-02-24,885
"AK",2021-03-03,876
"AK",2021-03-10,910
"AK",2021-03-17,914
"AK",2021-03-24,944
"AK",2021-03-31,1186
"AK",2021-04-07,1208
"AK",2021-04-14,1113
"AK",2021-04-21,1146
"AK",2021-04-28,1042
"AK",2021-05-05,731
"AK",2021-05-12,565
"AK",2021-05-19,453
"AK",2021-05-26,297
"AK",2021-06-02,230
"AK",2021-06-09,185
"AK",2021-06-16,155
"AK",2021-06-23,237
"AK",2021-06-30,257
"AK",2021-07-07,313
"AK",2021-07-14,572
"AK",2021-07-21,1199
"AK",2021-07-28,1546
"AK",2021-08-04,1892
"AK",2021-08-11,2112
"AK",2021-08-18,3001
"AK",2021-08-25,3357
"AK",2021-09-01,3651
"AK",2021-09-08,4264
"AK",2021-09-15,4887
"AK",2021-09-22,6258
"AK",2021-09-29,8436
"AK",2021-10-06,5744
"AK",2021-10-13,6177
"AK",2021-10-20,5530
"AK",2021-10-27,4625
"AK",2021-11-03,4134
"AK",2021-11-10,3391
"AK",2021-11-17,2919
"AK",2021-11-24,2349
"AK",2021-12-01,1716
"AK",2021-12-08,1510
"AK",2021-12-15,1219
"AK",2021-12-22,1046
"AK",2021-12-29,2080
"AK",2022-01-05,5523
"AK",2022-01-12,12166
"AK",2022-01-19,15735
"AK",2022-01-26,16839
"AK",2022-02-02,13422
"AK",2022-02-09,8117
"AK",2022-02-16,3958
"AK",2022-02-23,2684
"AK",2022-03-02,2091
"AK",2022-03-09,2440
"AK",2022-03-16,1407
"AK",2022-03-23,1423
"AK",2022-03-30,1445
"AK",2022-04-06,1377
"AK",2022-04-13,1237
"AK",2022-04-20,1513
"AK",2022-04-27,1425
"AK",2022-05-04,1417
"AK",2022-05-11,1539
"AK",2022-05-18,1697
"AK",2022-05-25,1881
"AK",2022-06-01,1944
"AK",2022-06-08,2057
"AK",2022-06-15,1982
"AK",2022-06-22,2137
"AK",2022-06-29,2766
"AK",2022-07-06,1988
"AK",2022-07-13,2133
"AK",2022-07-20,2345
"AK",2022-07-27,2050
"AK",2022-08-03,2573
"AK",2022-08-10,1868
"AK",2022-08-17,1465
"AK",2022-08-24,1673
"AK",2022-08-31,1208
"AK",2022-09-07,879
"AK",2022-09-14,950
"AK",2022-09-21,644
"AK",2022-09-28,550
"AK",2022-10-05,637
"AK",2022-10-12,511
"AK",2022-10-19,347
"AK",2022-10-26,379
"AK",2022-11-02,359
"AK",2022-11-09,199
"AK",2022-11-16,390
"AK",2022-11-23,430
"AK",2022-11-30,398
"AK",2022-12-07,496
"AK",2022-12-14,354
"AK",2022-12-21,380
"AK",2022-12-28,332
"AK",2023-01-04,371
"AK",2023-01-11,470
"AK",2023-01-18,649
"AK",2023-01-25,654
"AK",2023-02-01,793
"AK",2023-02-08,692
"AK",2023-02-15,786
"AK",2023-02-22,775
"AK",2023-03-01,448
"AK",2023-03-08,582
"AK",2023-03-15,448
"AK",2023-03-22,496
"AK",2023-03-29,514
"AK",2023-04-05,401
"AK",2023-04-12,358
"AK",2023-04-19,361
"AK",2023-04-26,280
"AK",2023-05-03,188
"AK",2023-05-10,199
"AL",2020-01-22,0
"AL",2020-01-29,0
"AL",2020-02-05,0
"AL",2020-02-12,0
"AL",2020-02-19,0
"AL",2020-02-26,0
"AL",2020-03-04,0
"AL",2020-03-11,3
"AL",2020-03-18,58
"AL",2020-03-25,411
"AL",2020-04-01,703
"AL",2020-04-08,1439
"AL",2020-04-15,1693
"AL",2020-04-22,1385
"AL",2020-04-29,1287
"AL",2020-05-06,1790
"AL",2020-05-13,2053
"AL",2020-05-20,2364
"AL",2020-05-27,3077
"AL",2020-06-03,2691
"AL",2020-06-10,3705
"AL",2020-06-17,5282
"AL",2020-06-24,4937
"AL",2020-07-01,6769
"AL",2020-07-08,8502
"AL",2020-07-15,12045
"AL",2020-07-22,12400
"AL",2020-07-29,12058
"AL",2020-08-05,10671
"AL",2020-08-12,8896
"AL",2020-08-19,7477
"AL",2020-08-26,8208
"AL",2020-09-02,8336
"AL",2020-09-09,5821
"AL",2020-09-16,6362
"AL",2020-09-23,6474
"AL",2020-09-30,7875
"AL",2020-10-07,6313
"AL",2020-10-14,7535
"AL",2020-10-21,7985
"AL",2020-10-28,12170
"AL",2020-11-04,10152
"AL",2020-11-11,9710
"AL",2020-11-18,14851
"AL",2020-11-25,15830
"AL",2020-12-02,17510
"AL",2020-12-09,23359
"AL",2020-12-16,25453
"AL",2020-12-23,28929
"AL",2020-12-30,22251
"AL",2021-01-06,27365
"AL",2021-01-13,26811
"AL",2021-01-20,18659
"AL",2021-01-27,19432
"AL",2021-02-03,15974
"AL",2021-02-10,10954
"AL",2021-02-17,7162
"AL",2021-02-24,6988
"AL",2021-03-03,6979
"AL",2021-03-10,4256
"AL",2021-03-17,8065
"AL",2021-03-24,3204
"AL",2021-03-31,2684
"AL",2021-04-07,2095
"AL",2021-04-14,3311
"AL",2021-04-21,3546
"AL",2021-04-28,2780
"AL",2021-05-05,2374
"AL",2021-05-12,2289
"AL",2021-05-19,9142
"AL",2021-05-26,1938
"AL",2021-06-02,1760
"AL",2021-06-09,2241
"AL",2021-06-16,1476
"AL",2021-06-23,1091
"AL",2021-06-30,1583
"AL",2021-07-07,1932
"AL",2021-07-14,3702
"AL",2021-07-21,7331
"AL",2021-07-28,13519
"AL",2021-08-04,18353
"AL",2021-08-11,23936
"AL",2021-08-18,26099
"AL",2021-08-25,19802
"AL",2021-09-01,38767
"AL",2021-09-08,27734
"AL",2021-09-15,25739
"AL",2021-09-22,20656
"AL",2021-09-29,16224
"AL",2021-10-06,9478
"AL",2021-10-13,6249
"AL",2021-10-20,5498
"AL",2021-10-27,12645
"AL",2021-11-03,4838
"AL",2021-11-10,3858
"AL",2021-11-17,3595
"AL",2021-11-24,3272
"AL",2021-12-01,2100
"AL",2021-12-08,3792
"AL",2021-12-15,4786
"AL",2021-12-22,6226
"AL",2021-12-29,19197
"AL",2022-01-05,51943
"AL",2022-01-12,72372
"AL",2022-01-19,83748
"AL",2022-01-26,73560
"AL",2022-02-02,67370
"AL",2022-02-09,24732
"AL",2022-02-16,13876
"AL",2022-02-23,7449
"AL",2022-03-02,6249
"AL",2022-03-09,6217
"AL",2022-03-16,2315
"AL",2022-03-23,1789
"AL",2022-03-30,3088
"AL",2022-04-06,1271
"AL",2022-04-13,1106
"AL",2022-04-20,1245
"AL",2022-04-27,1637
"AL",2022-05-04,1530
"AL",2022-05-11,2023
"AL",2022-05-18,2835
"AL",2022-05-25,3859
"AL",2022-06-01,5413
"AL",2022-06-08,7023
"AL",2022-06-15,8495
"AL",2022-06-22,10698
"AL",2022-06-29,13190
"AL",2022-07-06,12230
"AL",2022-07-13,17266
"AL",2022-07-20,17057
"AL",2022-07-27,17182
"AL",2022-08-03,5336
"AL",2022-08-10,12047
"AL",2022-08-17,13354
"AL",2022-08-24,14121
"AL",2022-08-31,15672
"AL",2022-09-07,14695
"AL",2022-09-14,9880
"AL",2022-09-21,7954
"AL",2022-09-28,5770
"AL",2022-10-05,4231
"AL",2022-10-12,3589
"AL",2022-10-19,3015
"AL",2022-10-26,2566
"AL",2022-11-02,2982
"AL",2022-11-09,6042
"AL",2022-11-16,1898
"AL",2022-11-23,2872
"AL",2022-11-30,4186
"AL",2022-12-07,5807
"AL",2022-12-14,6465
"AL",2022-12-21,7377
"AL",2022-12-28,4703
"AL",2023-01-04,13587
"AL",2023-01-11,8925
"AL",2023-01-18,6742
"AL",2023-01-25,7644
"AL",2023-02-01,7315
"AL",2023-02-08,9820
"AL",2023-02-15,6073
"AL",2023-02-22,4605
"AL",2023-03-01,3714
"AL",2023-03-08,2471
"AL",2023-03-15,1890
"AL",2023-03-22,1962
"AL",2023-03-29,2064
"AL",2023-04-05,2020
"AL",2023-04-12,1632
"AL",2023-04-19,1560
"AL",2023-04-26,1514
"AL",2023-05-03,1464
"AL",2023-05-10,1297
"AR",2020-01-22,0
"AR",2020-01-29,0
"AR",2020-02-05,1
"AR",2020-02-12,3
