"state","date","week","covid_death","total_death","year","percentage_expected_death","population","cases"
"AL",2020-01-11,2,0,1127,2020,96,5031864,NA
"AL",2020-01-18,3,0,1039,2020,91,5031864,NA
"AL",2020-01-25,4,NA,1056,2020,94,5031864,0
"AL",2020-02-01,5,0,1026,2020,94,5031864,0
"AL",2020-02-08,6,0,1120,2020,101,5031864,0
"AL",2020-02-15,7,0,1095,2020,101,5031864,0
"AL",2020-02-22,8,0,1098,2020,101,5031864,0
"AL",2020-02-29,9,NA,1164,2020,112,5031864,0
"AL",2020-03-07,10,0,1057,2020,101,5031864,0
"AL",2020-03-14,11,0,1091,2020,101,5031864,3
"AL",2020-03-21,12,NA,1059,2020,103,5031864,58
"AL",2020-03-28,13,23,1073,2020,105,5031864,411
"AL",2020-04-04,14,49,1156,2020,112,5031864,703
"AL",2020-04-11,15,81,1135,2020,111,5031864,1439
"AL",2020-04-18,16,89,1149,2020,117,5031864,1693
"AL",2020-04-25,17,85,1139,2020,114,5031864,1385
"AL",2020-05-02,18,81,1147,2020,116,5031864,1287
"AL",2020-05-09,19,116,1171,2020,116,5031864,1790
"AL",2020-05-16,20,96,1148,2020,115,5031864,2053
"AL",2020-05-23,21,82,1153,2020,118,5031864,2364
"AL",2020-05-30,22,103,1109,2020,114,5031864,3077
"AL",2020-06-06,23,91,1173,2020,116,5031864,2691
"AL",2020-06-13,24,81,1138,2020,120,5031864,3705
"AL",2020-06-20,25,88,1090,2020,112,5031864,5282
"AL",2020-06-27,26,103,1151,2020,124,5031864,4937
"AL",2020-07-04,27,125,1201,2020,122,5031864,6769
"AL",2020-07-11,28,135,1265,2020,127,5031864,8502
"AL",2020-07-18,29,192,1289,2020,134,5031864,12045
"AL",2020-07-25,30,251,1333,2020,143,5031864,12400
"AL",2020-08-01,31,263,1364,2020,141,5031864,12058
"AL",2020-08-08,32,264,1379,2020,143,5031864,10671
"AL",2020-08-15,33,230,1305,2020,137,5031864,8896
"AL",2020-08-22,34,209,1303,2020,140,5031864,7477
"AL",2020-08-29,35,185,1216,2020,127,5031864,8208
"AL",2020-09-05,36,156,1216,2020,125,5031864,8336
"AL",2020-09-12,37,138,1232,2020,128,5031864,5821
"AL",2020-09-19,38,139,1200,2020,125,5031864,6362
"AL",2020-09-26,39,105,1183,2020,119,5031864,6474
"AL",2020-10-03,40,111,1103,2020,116,5031864,7875
"AL",2020-10-10,41,137,1204,2020,127,5031864,6313
"AL",2020-10-17,42,126,1190,2020,121,5031864,7535
"AL",2020-10-24,43,119,1142,2020,118,5031864,7985
"AL",2020-10-31,44,131,1169,2020,123,5031864,12170
"AL",2020-11-07,45,151,1277,2020,128,5031864,10152
"AL",2020-11-14,46,176,1269,2020,122,5031864,9710
"AL",2020-11-21,47,168,1275,2020,125,5031864,14851
"AL",2020-11-28,48,202,1326,2020,126,5031864,15830
"AL",2020-12-05,49,251,1355,2020,127,5031864,17510
"AL",2020-12-12,50,378,1598,2020,147,5031864,23359
"AL",2020-12-19,51,390,1584,2020,144,5031864,25453
"AL",2020-12-26,52,452,1626,2020,152,5031864,28929
"AL",2021-01-02,53,508,1804,2020,169,5031864,22251
"AL",2021-01-09,1,548,1811,2021,158,5050380,27365
"AL",2021-01-16,2,596,1835,2021,156,5050380,26811
"AL",2021-01-23,3,583,1791,2021,156,5050380,18659
"AL",2021-01-30,4,490,1637,2021,146,5050380,19432
"AL",2021-02-06,5,347,1509,2021,138,5050380,15974
"AL",2021-02-13,6,265,1432,2021,129,5050380,10954
"AL",2021-02-20,7,214,1332,2021,123,5050380,7162
"AL",2021-02-27,8,170,1315,2021,121,5050380,6988
"AL",2021-03-06,9,110,1162,2021,112,5050380,6979
"AL",2021-03-13,10,104,1189,2021,114,5050380,4256
"AL",2021-03-20,11,81,1060,2021,98,5050380,8065
"AL",2021-03-27,12,78,1191,2021,116,5050380,3204
"AL",2021-04-03,13,67,1107,2021,108,5050380,2684
"AL",2021-04-10,14,53,1209,2021,117,5050380,2095
"AL",2021-04-17,15,43,1170,2021,114,5050380,3311
"AL",2021-04-24,16,45,1108,2021,113,5050380,3546
"AL",2021-05-01,17,46,1192,2021,119,5050380,2780
"AL",2021-05-08,18,63,1156,2021,116,5050380,2374
"AL",2021-05-15,19,50,1095,2021,109,5050380,2289
"AL",2021-05-22,20,50,1095,2021,110,5050380,9142
"AL",2021-05-29,21,33,1080,2021,110,5050380,1938
"AL",2021-06-05,22,36,1086,2021,111,5050380,1760
"AL",2021-06-12,23,34,1111,2021,110,5050380,2241
"AL",2021-06-19,24,24,1135,2021,120,5050380,1476
"AL",2021-06-26,25,36,1074,2021,110,5050380,1091
"AL",2021-07-03,26,22,1062,2021,114,5050380,1583
"AL",2021-07-10,27,37,1133,2021,115,5050380,1932
"AL",2021-07-17,28,43,1055,2021,106,5050380,3702
"AL",2021-07-24,29,63,1105,2021,115,5050380,7331
"AL",2021-07-31,30,109,1170,2021,125,5050380,13519
"AL",2021-08-07,31,226,1330,2021,138,5050380,18353
"AL",2021-08-14,32,345,1441,2021,149,5050380,23936
"AL",2021-08-21,33,420,1577,2021,166,5050380,26099
"AL",2021-08-28,34,477,1619,2021,174,5050380,19802
"AL",2021-09-04,35,497,1607,2021,168,5050380,38767
"AL",2021-09-11,36,548,1750,2021,180,5050380,27734
