"jurisdiction_of_occurrence","mmwryear","mmwrweek","weekendingdate","allcause","naturalcause","septicemia_a40_a41","malignant_neoplasms_c00_c97","diabetes_mellitus_e10_e14","alzheimer_disease_g30","influenza_and_pneumonia_j10","chronic_lower_respiratory","other_diseases_of_respiratory","nephritis_nephrotic_syndrome","symptoms_signs_and_abnormal","diseases_of_heart_i00_i09","cerebrovascular_diseases","flag_otherresp","flag_inflpn","flag_nephr","flag_sept","flag_diab","flag_otherunk","flag_alz","flag_clrd","flag_stroke","flag_hd","flag_neopl"
"Florida","2014","43","2014-10-25T00:00:00.000","3381","3149","38","854","81","112","36","195","49","47","65","822","199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2014","44","2014-11-01T00:00:00.000","3501","3261","43","859","85","130","60","173","49","48","49","817","205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2014","45","2014-11-08T00:00:00.000","3646","3369","44","838","121","140","48","222","48","42","64","846","211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2014","46","2014-11-15T00:00:00.000","3615","3346","43","828","110","133","51","209","39","70","80","827","214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2014","47","2014-11-22T00:00:00.000","3672","3383","39","824","109","135","63","206","45","59","56","886","218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2014","48","2014-11-29T00:00:00.000","3707","3422","41","837","94","159","44","215","45","62","60","938","226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2014","49","2014-12-06T00:00:00.000","3816","3518","52","845","109","163","66","248","34","70","69","872","225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2014","50","2014-12-13T00:00:00.000","3805","3515","43","821","130","133","64","220","55","53","72","937","247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2014","51","2014-12-20T00:00:00.000","3994","3667","54","850","108","153","86","235","43","64","86","969","257",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2014","52","2014-12-27T00:00:00.000","4009","3713","48","862","108","139","73","255","55","67","72","1012","217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2014","53","2015-01-03T00:00:00.000","4135","3823","49","830","100","144","90","289","56","74","71","1030","230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","1","2015-01-10T00:00:00.000","4068","3774","52","857","104","146","91","288","59","80","63","967","228",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","2","2015-01-17T00:00:00.000","4093","3793","61","797","127","157","95","286","57","76","93","994","243",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","3","2015-01-24T00:00:00.000","4062","3736","49","868","132","163","85","269","51","69","79","992","238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","4","2015-01-31T00:00:00.000","3987","3702","50","842","114","123","65","272","58","63","71","988","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","5","2015-02-07T00:00:00.000","4145","3842","48","888","112","135","87","289","47","77","90","1033","260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","6","2015-02-14T00:00:00.000","4049","3755","50","899","136","134","77","246","57","71","76","981","237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","7","2015-02-21T00:00:00.000","4128","3820","51","844","136","162","63","274","49","68","71","979","264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","8","2015-02-28T00:00:00.000","4204","3894","45","902","123","148","73","300","43","72","74","1037","243",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","9","2015-03-07T00:00:00.000","3967","3697","51","844","125","136","68","243","66","83","77","972","239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","10","2015-03-14T00:00:00.000","3981","3685","65","855","127","144","67","258","54","76","66","970","235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","11","2015-03-21T00:00:00.000","3995","3706","44","901","103","132","52","235","55","76","64","1001","244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","12","2015-03-28T00:00:00.000","3858","3554","47","869","94","129","54","276","50","62","76","979","218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","13","2015-04-04T00:00:00.000","3934","3637","47","882","101","141","69","254","45","71","72","949","241",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","14","2015-04-11T00:00:00.000","3704","3455","52","839","98","132","54","288","44","58","64","890","236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","15","2015-04-18T00:00:00.000","3794","3500","46","828","97","124","52","275","35","76","71","950","206",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","16","2015-04-25T00:00:00.000","3667","3392","47","816","94","131","52","234","35","62","67","903","205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","17","2015-05-02T00:00:00.000","3617","3331","49","824","106","126","56","237","49","57","57","819","223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","18","2015-05-09T00:00:00.000","3809","3493","38","922","112","138","49","222","42","57","60","865","234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","19","2015-05-16T00:00:00.000","3777","3476","44","853","105","136","53","235","51","63","58","919","211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","1","2014-01-04T00:00:00.000","54065","50189","882","11244","1654","1780","1639","3331","756","965","679","13166","2669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","2","2014-01-11T00:00:00.000","56353","52450","905","11504","1735","1917","1910","3444","845","1098","665","13663","2738",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","20","2015-05-23T00:00:00.000","3542","3276","48","819","89","142","49","225","49","38","52","835","211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","21","2015-05-30T00:00:00.000","3602","3294","39","833","101","127","38","208","42","51","55","867","202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","22","2015-06-06T00:00:00.000","3502","3209","45","790","106","132","44","229","40","67","54","818","214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","23","2015-06-13T00:00:00.000","3565","3272","46","819","94","124","45","227","48","54","56","824","209",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","24","2015-06-20T00:00:00.000","3602","3299","50","826","106","117","36","207","35","56","53","860","223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
